Ticker,Entry_Time,Exit_Time,Duration,Entry_Price,Exit_Price,Shares,Total_Cost,Total_Revenue,PnL,ROI_%,Friction_Entry,Friction_Exit
ORCL,2026-03-06 00:00:00,2026-03-06 03:05:00,0 days 03:05:00,154.82,154.82,20.987921457176075,3250.0,3248.70013,-1.299869999999828,-0.03999599999999471,0.0002,0.0002
ORCL,2026-03-06 15:00:00,2026-03-06 19:00:00,0 days 04:00:00,154.54,157.725,21.017538436482464,3248.7001299999997,3314.3282516442177,65.62812164421803,2.020134792933875,0.0002,0.0002
BYND,2026-03-06 19:00:00,2026-03-07 03:30:00,0 days 08:30:00,0.7553,0.7901,4387.217510914722,3314.328251644218,3465.6472872626473,151.3190356184291,4.565601960015899,0.0002,0.0002
SOXL,2026-03-09 15:00:00,2026-03-10 02:30:00,0 days 11:30:00,47.705,53.425,72.63293486647511,3465.6472872626473,3879.6384623323847,413.99117506973744,11.945565741536546,0.0002,0.0002
SOXL,2026-03-10 13:30:00,2026-03-11 02:30:00,0 days 13:00:00,54.065,54.605,71.74442864403808,3879.6384623323847,3916.821005202478,37.18254287009313,0.9584022643114922,0.0002,0.0002
ORCL,2026-03-11 13:30:00,2026-03-12 02:10:00,0 days 12:40:00,169.01,163.1,23.17044932845061,3916.821005202478,3778.3444654132004,-138.47653978927747,-3.5354319129045573,0.0002,0.0002
BYND,2026-03-12 02:10:00,2026-03-12 02:25:00,0 days 00:15:00,0.7866,0.7866,4802.426641902006,3778.3444654132004,3776.8332787608138,-1.511186652386641,-0.0399959999999994,0.0002,0.0002
ORCL,2026-03-12 13:30:00,2026-03-12 14:00:00,0 days 00:30:00,166.34,162.99,22.700961356889874,3776.8332787608138,3699.289685621169,-77.5435931396446,-2.053137838403256,0.0002,0.0002
SOXL,2026-03-13 13:30:00,2026-03-13 17:00:00,0 days 03:30:00,52.78,50.75,70.07483568935288,3699.2896856211696,3555.586651652412,-143.7030339687576,-3.8846115384615407,0.0002,0.0002
BYND,2026-03-13 17:00:00,2026-03-13 18:00:00,0 days 01:00:00,0.7583,0.7543,4687.954021260823,3555.5866516524125,3535.416493493391,-20.170158159021412,-0.567280736911519,0.0002,0.0002
SOXL,2026-03-13 18:00:00,2026-03-14 02:25:00,0 days 08:25:00,50.28,50.71,70.30050537380056,3535.416493493391,3564.2256397799256,28.809146286534542,0.8148727692919667,0.0002,0.0002
BYND,2026-03-14 02:25:00,2026-03-14 02:30:00,0 days 00:05:00,0.76,0.76,4688.832624542065,3564.225639779925,3562.800092093039,-1.4255476868861479,-0.03999599999999352,0.0002,0.0002
SOXL,2026-03-16 13:30:00,2026-03-17 02:30:00,0 days 13:00:00,55.015,53.7,64.74756942787641,3562.8000920930394,3476.2490893813083,-86.55100271173114,-2.4292971953103604,0.0002,0.0002
SOXL,2026-03-17 13:30:00,2026-03-17 15:00:00,0 days 01:30:00,55.08,54.785,63.10010601967016,3476.2490893813083,3456.247920425972,-20.001168955336198,-0.5753663917937463,0.0002,0.0002
SOXL,2026-03-17 16:00:00,2026-03-18 02:10:00,0 days 10:10:00,53.515,54.915,64.57174008860855,3456.2479204259716,3545.247915544546,88.99999511857413,2.575046616088963,0.0002,0.0002
SOXL,2026-03-18 13:35:00,2026-03-18 18:00:00,0 days 04:25:00,55.285,56.4,64.11393444806797,3545.2479155445462,3615.302697690459,70.05478214591267,1.9760192746676313,0.0002,0.0002
ORCL,2026-03-19 13:30:00,2026-03-19 13:35:00,0 days 00:05:00,151.18,151.705,23.909112562183626,3615.302697690459,3626.406494861818,11.10379717135902,0.30713326379150463,0.0002,0.0002
BYND,2026-03-19 13:35:00,2026-03-19 14:00:00,0 days 00:25:00,0.701,0.7162,5172.1557968086245,3626.406494861818,3703.5571220780016,77.1506272161837,2.1274677101283834,0.0002,0.0002
ORCL,2026-03-19 14:00:00,2026-03-19 16:00:00,0 days 02:00:00,154.69,155.88,23.93701215756407,3703.5571220780016,3730.555194830063,26.99807275206149,0.7289768150494554,0.0002,0.0002
BYND,2026-03-19 16:00:00,2026-03-19 18:00:00,0 days 02:00:00,0.7017,0.7112,5315.389887118566,3730.555194830063,3779.5492266611805,48.994031831117354,1.3133174359413053,0.0002,0.0002
SOXL,2026-03-19 18:00:00,2026-03-20 02:25:00,0 days 08:25:00,53.155,54.865,71.09008215249456,3779.5492266611805,3899.577285825155,120.02805916397438,3.1757241926441604,0.0002,0.0002
BYND,2026-03-20 02:25:00,2026-03-20 02:30:00,0 days 00:05:00,0.713,0.713,5468.159004723689,3899.577285825155,3898.0176108939163,-1.5596749312385327,-0.039995999999997534,0.0002,0.0002
